id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
73082,can,2030,netzero,high,low,ref,low,no,high,385.3562982,104.3293141,119.5624825,72.32632265,1734.078314,2269.751502,965.9868272,15436.69614,0
73145,can,2030,netzero,ref,low,low,low,no,high,386.8595097,104.677595,120.127494,73.12491214,1739.967586,2286.316395,974.9640643,15506.29752,0
73208,can,2030,netzero,low,low,low,low,no,high,388.2562741,103.9205705,120.8343619,75.54714497,1758.30063,2320.02576,984.5669972,15590.27432,0
73271,can,2030,netzero,high,low,low,low,no,high,385.3623426,104.2695928,119.5509705,72.35785174,1733.849883,2269.199701,966.0413195,15437.12324,0
73334,can,2030,netzero,ref,low,high,low,no,high,386.672208,104.6745275,120.114415,73.10726166,1740.052511,2294.249742,974.7613844,15506.50009,0
73397,can,2030,netzero,low,low,high,low,no,high,388.5021387,103.9335136,120.873479,75.53740536,1758.057332,2310.63081,984.5467309,15590.10201,0
73460,can,2030,netzero,high,ref,high,ref,no,high,376.1763889,153.0812494,112.1224438,71.55703064,1796.793,2051.762403,945.5220627,15287.5732,0
73523,can,2030,netzero,high,low,high,low,no,high,385.3453619,104.3455821,119.5644426,72.3295493,1734.085827,2270.196311,965.9779213,15436.63179,0
73586,can,2030,netzero,ref,low,ref,low,yes,high,386.9077978,104.6476164,120.1418563,73.10775865,1739.642926,2284.852589,974.8493483,15505.96476,0
73649,can,2030,netzero,low,low,ref,low,yes,high,388.5017636,103.9357865,120.874159,75.53999401,1758.046288,2310.722873,984.5506434,15590.15437,0
73712,can,2030,netzero,high,low,ref,low,yes,high,385.3411931,104.3203323,119.5604963,72.33872502,1734.052867,2270.152552,965.9903363,15436.83077,0
73775,can,2030,netzero,ref,low,low,low,yes,high,386.8939045,104.6633149,120.1303698,73.12417777,1739.777891,2284.495165,974.920207,15506.08261,0
73838,can,2030,netzero,low,low,low,low,yes,high,388.4839512,103.9061693,120.8513852,75.54714807,1757.775766,2310.426687,984.4493345,15589.50281,0
73901,can,2030,netzero,high,low,low,low,yes,high,385.3243758,104.2763836,119.5454149,72.34873388,1733.983051,2270.125465,966.0429348,15437.21776,0
73964,can,2030,netzero,ref,low,high,low,yes,high,386.9120958,104.6390952,120.1399688,73.09869244,1739.456707,2284.18467,974.7926727,15505.6847,0
74027,can,2030,netzero,low,low,high,low,yes,high,388.2453833,103.9649021,120.8536753,75.54151561,1758.69856,2320.935039,984.698785,15590.9392,0
74090,can,2030,netzero,high,low,high,low,yes,high,385.3446524,104.344078,119.5636612,72.31714259,1734.100699,2270.220474,965.9763034,15436.71457,0
74153,can,2030,netzero,ref,ref,ref,ref,yes,high,377.727421,153.2272638,113.1527032,73.22893251,1808.480943,2081.509062,956.832259,15378.18111,0
74216,can,2030,netzero,ref,high,ref,low,no,high,386.3861137,103.8290571,119.7228638,73.213739,1733.826352,2284.035733,972.7570241,15498.49216,0
74279,can,2030,netzero,low,high,ref,low,no,high,388.2302193,103.243394,120.3788324,75.47745572,1752.447608,2297.847235,981.1149157,15575.49702,0
74342,can,2030,netzero,high,high,ref,low,no,high,384.9295218,103.8325616,119.3294501,72.27053153,1729.405862,2261.857929,964.2367552,15429.7949,0
74405,can,2030,netzero,ref,high,low,low,no,high,386.3920868,103.8443871,119.6986939,73.21661314,1733.554766,2283.57625,972.7077696,15498.36156,0
74468,can,2030,netzero,low,high,low,low,no,high,388.1971746,103.0919817,120.3525785,75.49122989,1752.257518,2297.656366,981.0092198,15574.99795,0
74531,can,2030,netzero,high,high,low,low,no,high,384.9235166,103.8195115,119.3191988,72.29851661,1729.664501,2261.356413,964.3816356,15430.46862,0
74594,can,2030,netzero,ref,high,high,low,no,high,386.6171522,103.8372186,119.7492118,73.20313895,1733.189974,2274.393076,972.7202861,15497.90265,0
74657,can,2030,netzero,low,high,high,low,no,high,388.0184718,102.8550612,120.3636841,75.48214019,1753.114493,2307.039836,981.2274262,15576.25335,0
74720,can,2030,netzero,high,high,high,low,no,high,384.9016097,103.8403347,119.323786,72.26493721,1729.337971,2262.735558,964.1822052,15429.54945,0
74783,can,2030,netzero,ref,high,ref,low,yes,high,386.6155553,103.8258576,119.748938,73.2049184,1733.199333,2274.427869,972.7419223,15498.01908,0
122474,can,2030,netzero,ref,ref,ref,ref,no,low,377.7759351,153.2271044,113.1550221,73.2316369,1808.380016,2081.421197,956.8546444,15378.38593,0
122537,can,2030,netzero,low,ref,ref,ref,no,low,379.1616905,154.2394444,114.4234478,76.75579431,1844.595611,2111.634381,973.5215931,15513.92344,0
122600,can,2030,netzero,low,ref,ref,ref,yes,low,379.1612384,154.2396664,114.4236625,76.75613972,1844.603928,2111.647936,973.5224955,15513.92182,0
122663,can,2030,netzero,low,high,ref,low,yes,low,388.0335964,102.7958052,120.3661196,75.48600977,1753.102379,2306.667446,981.2296767,15576.2718,0
122726,can,2030,netzero,high,high,ref,low,yes,low,384.9025382,103.8398571,119.32732,72.27260766,1729.515163,2262.762269,964.259441,15429.90538,0
122789,can,2030,netzero,ref,high,low,low,yes,low,386.3621765,103.8126765,119.6990742,73.22440286,1733.719489,2284.739749,972.7364213,15498.26383,0
122852,can,2030,netzero,low,high,low,low,yes,low,388.196761,103.0867874,120.3529941,75.49161662,1752.273793,2297.699528,981.0085132,15575.00137,0
122915,can,2030,netzero,high,high,low,low,yes,low,384.9246404,103.8144883,119.3177997,72.29627597,1729.629989,2261.342669,964.3824401,15430.55333,0
122978,can,2030,netzero,ref,high,high,low,yes,low,386.6054443,103.8089306,119.7479158,73.20336436,1733.230185,2274.908032,972.7240009,15497.98858,0
123041,can,2030,netzero,low,high,high,low,yes,low,388.0898616,102.9619412,120.3695619,75.48344768,1752.958189,2304.211216,981.2042639,15576.02754,0
123104,can,2030,netzero,high,high,high,low,yes,low,384.8993989,103.8403935,119.3233355,72.26490987,1729.34463,2262.809012,964.183904,15429.56807,0
123167,can,2030,netzero,high,ref,ref,ref,yes,low,376.1752549,153.1042265,112.1247562,71.56503356,1796.967079,2051.784004,945.5869597,15288.01142,0
123230,can,2030,netzero,ref,ref,low,ref,yes,low,377.7309485,153.2239471,113.1397678,73.25392915,1808.644826,2081.667307,956.9660134,15378.81865,0
123293,can,2030,netzero,low,ref,low,ref,yes,low,379.1303902,154.2328951,114.4045667,76.77603646,1844.521237,2111.446898,973.5279691,15514.20257,0
123356,can,2030,netzero,high,ref,low,ref,yes,low,376.1481261,153.0903914,112.1104026,71.58866891,1797.103042,2051.709707,945.6769292,15288.42112,0
123419,can,2030,netzero,ref,ref,high,ref,yes,low,377.7774891,153.2239597,113.1549077,73.22340039,1808.281898,2081.468155,956.8073836,15378.15065,0
123482,can,2030,netzero,low,ref,high,ref,yes,low,379.1650927,154.2375745,114.4240988,76.75200505,1844.512564,2111.66781,973.4846728,15513.70313,0
123545,can,2030,netzero,high,ref,high,ref,yes,low,376.1740554,153.0672786,112.1223067,71.55741339,1796.911629,2051.860387,945.5526389,15287.58311,0
123608,can,2030,netzero,ref,low,ref,ref,no,low,377.8930835,156.3864509,113.5220537,73.36171801,1823.973446,2085.742289,960.6868384,15397.81567,0
123671,can,2030,netzero,low,low,ref,ref,no,low,378.8546981,159.5003656,114.8227693,76.86447543,1876.381253,2111.378863,980.1227868,15536.821,0
123734,can,2030,netzero,high,ref,ref,ref,no,low,376.1503866,153.0826375,112.1195444,71.56780003,1797.096633,2051.86179,945.577459,15287.74791,0
123797,can,2030,netzero,high,low,ref,ref,no,low,376.5035172,156.1690464,112.7454568,71.71292378,1810.214216,2061.3382,950.0152011,15313.37979,0
123860,can,2030,netzero,ref,low,low,ref,no,low,377.8568643,156.3613881,113.4998073,73.38354997,1824.044362,2085.725714,960.7365887,15397.98258,0
123923,can,2030,netzero,low,low,low,ref,no,low,378.8030276,159.5879907,114.8069252,76.88773379,1877.17255,2111.007476,980.2548742,15537.34075,0
123986,can,2030,netzero,high,low,low,ref,no,low,376.5169332,156.1679553,112.7328964,71.73272284,1810.365829,2061.39144,950.1568115,15313.95852,0
124049,can,2030,netzero,ref,low,high,ref,no,low,377.8249438,156.5212436,113.5245076,73.37852524,1824.930685,2085.813693,960.7191505,15398.01178,0
124112,can,2030,netzero,low,low,high,ref,no,low,378.8614171,159.396229,114.8215749,76.85557565,1875.552041,2111.436289,979.9367008,15536.19285,0
124175,can,2030,netzero,high,low,high,ref,no,low,376.5439079,156.1516646,112.759275,71.69857173,1809.992975,2061.233716,949.9754828,15312.99994,0
124238,can,2030,netzero,ref,low,ref,ref,yes,low,377.821176,156.670801,113.551912,73.40501804,1825.626907,2085.788893,960.8743966,15399.12219,0
124301,can,2030,netzero,low,low,ref,ref,yes,low,378.8544658,159.5031406,114.8229859,76.8644776,1876.400337,2111.381685,980.1237914,15536.83623,0
124364,can,2030,netzero,high,low,ref,ref,yes,low,376.5389473,156.168321,112.750633,71.70841645,1810.200677,2061.406831,950.0502012,15313.45737,0
124427,can,2030,netzero,ref,ref,low,ref,no,low,377.7562057,153.2043686,113.1375644,73.25148055,1808.34903,2081.411295,956.9362946,15378.83963,0
124490,can,2030,netzero,ref,low,low,ref,yes,low,377.8590756,156.3259552,113.4932298,73.37439554,1823.700832,2085.645278,960.7114017,15397.87601,0
124553,can,2030,netzero,low,low,low,ref,yes,low,378.7992512,159.6035872,114.8091352,76.88792646,1877.330307,2111.024269,980.2814353,15537.40134,0
124616,can,2030,netzero,high,low,low,ref,yes,low,376.5129951,156.1404267,112.7316002,71.73394531,1810.23139,2061.29677,950.1319513,15313.93531,0
124679,can,2030,netzero,ref,low,high,ref,yes,low,377.8583555,156.5707173,113.5352018,73.392315,1825.070489,2085.917464,960.8003625,15398.74078,0
124742,can,2030,netzero,low,low,high,ref,yes,low,378.8641114,159.3957167,114.8215954,76.85638417,1875.535939,2111.445897,979.9436509,15536.22338,0
124805,can,2030,netzero,high,low,high,ref,yes,low,376.5387701,156.1582024,112.7602563,71.70216036,1810.063897,2061.399729,950.0008235,15313.20655,0
124868,can,2030,netzero,ref,high,ref,ref,no,low,377.5958592,152.0673126,112.8452671,73.18933428,1804.200476,2076.275383,954.6759138,15365.12641,0
